trial_number,L_mean,M_mean,H_mean,L_variance,M_variance,H_variance,mix_contexts,trials_per_option,options
1,14,50,86,4,4,4,false,4,L1
2,14,50,86,4,4,4,false,4,L2
3,14,50,86,4,4,4,false,4,M1
4,14,50,86,4,4,4,false,4,M2
5,14,50,86,4,4,4,false,4,H1
6,14,50,86,4,4,4,false,4,H2
7,14,50,86,4,4,4,false,4,L1
8,14,50,86,4,4,4,false,4,L2
9,14,50,86,4,4,4,false,4,M1
10,14,50,86,4,4,4,false,4,M2
11,14,50,86,4,4,4,false,4,H1
12,14,50,86,4,4,4,false,4,H2
13,14,50,86,4,4,4,false,4,L1
14,14,50,86,4,4,4,false,4,L2
15,14,50,86,4,4,4,false,4,M1
16,14,50,86,4,4,4,false,4,M2
17,14,50,86,4,4,4,false,4,H1
18,14,50,86,4,4,4,false,4,H2
19,14,50,86,4,4,4,false,4,L1
20,14,50,86,4,4,4,false,4,L2
21,14,50,86,4,4,4,false,4,M1
22,14,50,86,4,4,4,false,4,M2
23,14,50,86,4,4,4,false,4,H1
24,14,50,86,4,4,4,false,4,H2